,precision,recall,f1-score,support
Bacterial Leaf Blight,1.0,0.65,0.7878787878787878,20.0
Brown Spot,0.5714285714285714,0.4,0.47058823529411764,20.0
Healthy Rice Leaf,0.7,0.7,0.7,20.0
Leaf Blast,0.4772727272727273,1.0,0.6461538461538462,21.0
Leaf Scald,0.7777777777777778,0.35,0.4827586206896552,20.0
Narrow Brown Leaf Spot,0.9090909090909091,0.5,0.6451612903225806,20.0
Neck Blast,1.0,1.0,1.0,20.0
Rice Hispa,0.6896551724137931,1.0,0.8163265306122449,20.0
Sheath Blight,0.8636363636363636,0.95,0.9047619047619048,20.0
Tungro,1.0,0.95,0.9743589743589743,20.0
accuracy,0.7512437810945274,0.7512437810945274,0.7512437810945274,0.7512437810945274
macro avg,0.7988861521620143,0.75,0.7427988190072112,201.0
weighted avg,0.7972860853715203,0.7512437810945274,0.7423179982467466,201.0
